src_entity_id,dst_entity_id,yyyymm,amount,category
2,27,2024-03,10941.33,raw_materials
2,27,2024-04,7678.58,utilities
2,27,2024-05,4721.46,raw_materials
27,2,2024-05,944.29,services
2,27,2024-06,12035.77,services
2,27,2024-07,9692.36,raw_materials
2,27,2024-09,13326.53,utilities
2,27,2024-10,19333.49,services
2,27,2024-11,9334.65,services
2,27,2024-12,14206.73,utilities
2,27,2025-01,9780.75,utilities
2,27,2025-02,17233.89,raw_materials
2,27,2025-03,8452.97,retail_pos
2,27,2025-05,7668.39,logistics
2,27,2025-06,7924.68,raw_materials
2,195,2024-01,13102.59,retail_pos
2,195,2024-02,14072.46,raw_materials
2,195,2024-03,25106.01,services
2,195,2024-04,21514.51,retail_pos
2,195,2024-05,24815.28,services
2,195,2024-06,26922.16,services
2,195,2024-07,48161.14,services
2,195,2024-08,55056.88,services
2,195,2024-09,20715.26,utilities
2,195,2024-10,22268.33,services
2,195,2024-11,14233.59,raw_materials
2,195,2024-12,17755.15,utilities
2,195,2025-02,22191.27,utilities
2,195,2025-03,22698.54,retail_pos
2,195,2025-04,30033.44,retail_pos
2,195,2025-05,39364.47,raw_materials
2,214,2024-01,8312.73,raw_materials
2,214,2024-03,11073.92,raw_materials
2,214,2024-04,13664.35,services
2,214,2024-05,24450.76,retail_pos
2,214,2024-06,14431.09,raw_materials
2,214,2024-07,18744.45,utilities
2,214,2024-08,14030.95,services
214,2,2024-08,2806.19,services
2,214,2024-09,14495.23,utilities
2,214,2024-10,11767.35,logistics
2,214,2024-11,9939.16,utilities
2,214,2024-12,8422.31,services
2,214,2025-01,11365.22,raw_materials
2,214,2025-02,14459.26,logistics
2,214,2025-03,17730.12,raw_materials
2,214,2025-04,13252.64,raw_materials
2,214,2025-05,18066.7,retail_pos
2,214,2025-06,15830.7,services
3,192,2024-01,10893.19,raw_materials
3,192,2024-02,19464.18,utilities
3,192,2024-03,11752.7,utilities
3,192,2024-04,14012.07,services
3,192,2024-05,14247.15,utilities
3,192,2024-06,9526.4,retail_pos
3,192,2024-07,10255.51,logistics
3,192,2024-08,8223.61,utilities
3,192,2024-09,9973.8,utilities
3,192,2024-11,18247.62,retail_pos
3,192,2025-01,12726.72,raw_materials
3,192,2025-02,14005.95,services
3,192,2025-04,10616.05,raw_materials
3,192,2025-05,9718.66,retail_pos
3,192,2025-06,10373.22,utilities
3,39,2024-02,13484.66,utilities
3,39,2024-03,18803.23,retail_pos
3,39,2024-04,8380.47,services
3,39,2024-05,10484.72,utilities
3,39,2024-07,11127.99,raw_materials
39,3,2024-07,2225.6,services
3,39,2024-08,8288.91,utilities
3,39,2024-09,10416.9,raw_materials
3,39,2024-11,15501.63,raw_materials
3,39,2024-12,14440.34,logistics
3,39,2025-01,15523.21,retail_pos
3,39,2025-02,12780.42,raw_materials
3,39,2025-03,11819.68,services
3,39,2025-04,6740.96,raw_materials
3,39,2025-05,8934.19,logistics
3,39,2025-06,7739.89,utilities
3,120,2024-01,7937.58,utilities
3,120,2024-02,3866.27,services
3,120,2024-04,10113.07,utilities
120,3,2024-04,2022.61,services
